,Customer_ID,First_Name,Last_Name,Year_Birth,Education,Major,Income,Date_Enrolled,Days_Since_Last_Cohort,Amount_Spent_On_Courses,Amount_Spent_on_Books,Minutes_Spent_on_Headstarter,Questions_Completed,Videos_Watched,Minutes_Spent_Coding,Email_Opens,Num_Courses_Purchased,Number_of_Students_Referred,Site_Visits_Per_Month,Average_Teammate_Rating,Cohorts_Participated_In,Highest_Leaderboard_Rank,Complain,Headstarter_Rating,Probability_Of_Getting_Offer
458,7540,Jon,Thomas,1952,Bachelors,Computer Science,80480.0,2014-05-25,52,210.0,25.0,108.0,183.0,10.0,48.0,2,1.0,8,5.0,7.49,3,320.0,0,7,5.8
459,10648,Nicole,Stafford,1982,High School,Computer Science,13332.800000000001,2012-09-25,78,583.0,162.0,803.0,1363.0,76.0,359.0,5,8.0,6,8.0,8.54,3,250.0,0,8,41.3
460,1992,Chloe,Williams,1964,Bachelors,Pre-Med,96955.20000000001,2014-01-01,2,761.0,0.0,304.0,720.0,43.0,229.0,2,3.0,8,19.0,7.6,4,233.0,0,9,22.5
461,7851,Anthony,Fleming,1949,Bachelors,Finance,112264.0,2013-09-22,60,279.0,0.0,154.0,379.0,24.0,65.0,3,6.0,11,2.0,6.52,4,209.0,0,7,35.4
462,8594,Donald,James,1958,PhD,Computer Science,101040.0,2014-01-28,25,164.0,0.0,11.0,18.0,0.0,5.0,3,1.0,3,15.0,8.19,3,333.0,0,8,1.5
463,7059,Charlene,Garcia,1963,Bachelors,Computer Science,128198.40000000001,2014-06-26,47,708.0,141.0,715.0,1213.0,68.0,320.0,3,8.0,8,3.0,8.83,2,151.0,0,8,38.9
464,2815,Monique,Lopez,1975,Bachelors,Computer Science,53092.8,2014-02-24,46,10.0,8.0,70.0,119.0,6.0,31.0,4,0.0,3,18.0,4.53,3,353.0,0,6,2.7
465,2416,Marie,Dickerson,1969,PhD,Finance,133164.0,2014-03-03,83,1367.0,33.0,255.0,628.0,40.0,108.0,2,7.0,9,2.0,4.64,3,314.0,0,6,21.4
466,7999,Alec,Mathis,1955,PhD,Computer Science,150522.0,2013-04-23,17,1816.0,29.0,742.0,1259.0,71.0,332.0,5,7.0,5,5.0,5.14,2,220.0,0,9,21.4
467,9213,Stephanie,Rasmussen,1970,Bachelors,Computer Science,51008.0,2012-10-31,13,6.0,2.0,9.0,15.0,0.0,3.0,1,0.0,2,20.0,9.68,2,462.0,0,6,0.7
468,9697,Taylor,Garcia,1951,Bachelors,Computer Science,86064.0,2014-06-03,86,491.0,71.0,228.0,387.0,21.0,101.0,7,2.0,8,15.0,9.64,3,481.0,0,5,12.8
469,3916,Tracy,Anderson,1971,PhD,Finance,98538.0,2012-08-15,92,1107.0,10.0,101.0,248.0,15.0,43.0,7,2.0,12,14.0,5.94,2,472.0,0,7,13.8
470,2021,Jackie,Jarvis,1975,Bachelors,Computer Science,98329.6,2013-03-27,47,825.0,128.0,689.0,1171.0,67.0,309.0,6,11.0,13,10.0,8.77,2,323.0,0,9,40.9
471,1581,Christopher,Hartman,1980,Bachelors,Computer Science,59849.600000000006,2013-10-10,18,3.0,0.0,14.0,24.0,1.0,6.0,1,0.0,2,20.0,4.15,3,329.0,0,5,0.8
472,564,Paul,Burnett,1981,PhD,Pre-Med,113874.0,2012-04-08,81,1088.0,14.0,148.0,350.0,20.0,111.0,8,8.0,9,17.0,4.86,3,392.0,0,9,13.3
473,6619,Michael,Miller,1978,Bachelors,Cyber Security,61464.0,2013-02-01,91,39.0,1.0,12.0,36.0,2.0,12.0,1,0.0,3,21.0,8.61,1,495.0,0,9,0.6
474,9081,Kyle,Wilson,1988,Bachelors,Computer Science,32828.8,2014-05-18,58,6.0,2.0,11.0,18.0,0.0,5.0,1,1.0,2,13.0,6.45,3,354.0,0,5,0.6
475,178,Nicholas,Scott,1956,Bachelors,Computer Science,100004.8,2013-02-18,40,701.0,0.0,347.0,588.0,33.0,155.0,8,3.0,11,13.0,4.25,2,267.0,0,6,28.0
476,916,Candace,Miller,1972,PhD,Computer Science,83288.0,2014-09-05,67,29.0,5.0,7.0,12.0,0.0,3.0,1,0.0,3,8.0,9.43,4,446.0,0,5,0.7
477,5512,Daniel,Morgan,1977,Masters,Cyber Security,100515.6,2014-05-23,19,799.0,0.0,37.0,107.0,8.0,37.0,7,2.0,8,15.0,4.92,1,292.0,0,7,6.9
478,8970,Annette,Johnson,1972,PhD,Cyber Security,124020.0,2012-10-23,93,657.0,26.0,37.0,107.0,8.0,37.0,6,4.0,7,15.0,5.55,1,436.0,0,7,5.0
479,10581,Jeremy,Gonzales,1977,Bachelors,Cyber Security,65798.40000000001,2012-10-31,41,498.0,8.0,79.0,231.0,20.0,83.0,7,5.0,4,24.0,6.19,1,485.0,0,5,13.0
480,5300,Andrew,Grant,1973,Masters,Computer Science,70129.8,2013-12-30,60,28.0,12.0,34.0,58.0,3.0,14.0,2,1.0,2,18.0,4.43,3,536.0,0,7,1.6
481,5154,James,Hood,1972,Masters,Computer Science,67968.0,2013-11-08,54,38.0,5.0,23.0,40.0,1.0,10.0,2,0.0,3,15.0,4.53,2,466.0,0,7,1.8
482,8346,Ethan,Garrison,1974,Bachelors,Cyber Security,51572.8,2012-08-19,26,244.0,18.0,33.0,96.0,8.0,33.0,6,4.0,2,27.0,8.38,1,340.0,0,8,6.7
483,1676,Robert,Nicholson,1975,Bachelors,Computer Science,68891.2,2013-10-30,30,312.0,3.0,79.0,134.0,7.0,35.0,4,2.0,5,13.0,8.41,2,395.0,0,5,3.0
484,9286,Stephanie,Macias,1960,Masters,Computer Science,149671.80000000002,2012-10-10,93,596.0,47.0,180.0,305.0,17.0,80.0,5,10.0,4,8.0,6.97,4,341.0,0,7,18.1
485,2426,Vanessa,Foley,1964,PhD,Cyber Security,157650.0,2012-09-14,35,856.0,89.0,107.0,313.0,28.0,112.0,5,18.0,13,9.0,4.32,1,337.0,0,5,19.8
486,5172,Leslie,Robertson,1976,Masters,Computer Science,117187.2,2013-11-14,4,1082.0,0.0,417.0,707.0,40.0,187.0,3,6.0,7,18.0,8.56,2,313.0,0,9,20.9
487,5562,Michael,Lane,1974,Bachelors,Computer Science,96148.8,2013-06-26,92,736.0,20.0,196.0,332.0,18.0,87.0,7,2.0,10,15.0,4.43,2,284.0,0,8,11.9
488,3436,Teresa,Contreras,1969,Bachelors,Computer Science,22472.0,2014-01-26,24,16.0,0.0,9.0,15.0,0.0,3.0,1,0.0,3,18.0,8.16,1,457.0,0,7,0.6
489,3921,Matthew,Rivera,1952,High School,Computer Science,5691.400000000001,2012-10-28,96,35.0,2.0,194.0,329.0,18.0,87.0,4,1.0,4,20.0,9.75,4,534.0,0,6,9.7
490,3403,Vanessa,Smith,1958,PhD,Pre-Med,157904.0,2012-09-24,11,1707.0,33.0,703.0,1663.0,100.0,531.0,2,7.0,12,17.0,4.59,4,192.0,0,9,58.7
491,22,Stephanie,Mays,1976,Bachelors,Computer Science,74096.0,2012-03-12,99,271.0,3.0,158.0,268.0,15.0,71.0,6,1.0,5,20.0,4.56,3,306.0,0,6,5.9
492,10965,Charles,Morrison,1955,Bachelors,Computer Science,121608.0,2013-02-22,72,1441.0,34.0,698.0,1186.0,67.0,312.0,3,6.0,13,15.0,7.31,3,215.0,0,7,40.7
493,9426,John,Arellano,1964,Masters,Marketing,104954.40000000001,2013-12-01,77,886.0,0.0,60.0,202.0,7.0,35.0,2,6.0,3,21.0,5.49,2,301.0,0,5,16.8
494,6605,Megan,Jensen,1944,PhD,Computer Science,111228.0,2013-11-27,85,739.0,22.0,235.0,399.0,22.0,105.0,9,4.0,6,18.0,9.13,1,464.0,0,8,14.1
495,3136,William,Smith,1962,Masters,Computer Science,106977.6,2013-04-13,88,465.0,42.0,476.0,808.0,46.0,212.0,5,3.0,11,13.0,7.55,4,345.0,0,5,13.4
496,8737,Daniel,Adams,1978,Bachelors,Computer Science,88900.8,2014-05-04,22,42.0,2.0,16.0,27.0,1.0,6.0,2,0.0,3,8.0,7.15,4,475.0,0,6,0.9
497,11088,Jeanette,Clark,1971,PhD,Computer Science,157284.0,2013-04-21,83,2046.0,0.0,578.0,982.0,56.0,259.0,4,10.0,4,15.0,6.44,3,209.0,0,8,23.6
498,716,Derek,Pena,1949,PhD,Computer Science,135822.0,2014-05-22,63,775.0,0.0,639.0,1085.0,61.0,287.0,6,8.0,11,8.0,9.02,3,256.0,0,6,19.8
499,466,Christopher,Carey,1944,Bachelors,Finance,104440.0,2013-03-04,9,672.0,18.0,132.0,326.0,21.0,56.0,4,2.0,13,4.0,5.76,1,334.0,0,9,19.1
500,9135,Erin,Patton,1950,Bachelors,Cyber Security,43524.8,2012-06-08,92,23.0,2.0,20.0,58.0,4.0,20.0,1,2.0,2,24.0,7.26,2,569.0,0,9,2.0
501,10623,Matthew,Hopkins,1961,Masters,Computer Science,86994.0,2013-11-15,2,41.0,0.0,7.0,12.0,0.0,3.0,1,0.0,3,13.0,4.33,1,482.0,0,5,0.0
502,8151,Dwayne,Miller,1990,In-College,Computer Science,31562.7,2012-12-29,6,703.0,61.0,189.0,64.0,22.0,16.0,4,1.0,3,20.0,9.94,4,279.0,0,7,12.3
503,5140,Nicholas,Thornton,1985,PhD,Computer Science,128710.0,2012-08-24,66,1534.0,0.0,251.0,427.0,24.0,113.0,4,3.0,12,20.0,9.28,2,289.0,0,5,18.5
504,10160,Brooke,Hamilton,1956,Masters,Computer Science,91697.40000000001,2013-06-21,49,45.0,0.0,13.0,21.0,0.0,5.0,1,0.0,3,13.0,8.3,3,419.0,0,7,0.6
505,4945,Robert,Brewer,1953,Bachelors,Cyber Security,85844.8,2012-07-11,29,1444.0,12.0,225.0,656.0,58.0,234.0,10,7.0,12,18.0,8.11,4,254.0,0,8,27.2
506,10584,Richard,Moore,1976,Bachelors,Computer Science,105064.0,2013-02-12,77,330.0,273.0,695.0,1180.0,67.0,311.0,5,11.0,8,8.0,9.57,2,226.0,0,6,31.9
507,6071,Craig,Price,1989,Bachelors,Computer Science,129947.20000000001,2013-07-19,77,722.0,118.0,582.0,988.0,56.0,261.0,3,8.0,11,3.0,7.71,4,198.0,0,5,19.9
508,3386,Sheila,Barber,1992,Bachelors,Computer Science,55896.0,2013-06-21,71,50.0,7.0,119.0,201.0,11.0,53.0,2,1.0,4,18.0,4.6,1,311.0,0,8,4.5
509,8939,Kenneth,Wade,1959,Bachelors,Computer Science,98000.0,2012-12-16,49,560.0,232.0,117.0,198.0,11.0,52.0,5,2.0,12,13.0,4.28,2,394.0,0,9,13.4
510,9925,Jennifer,Miller,1981,PhD,Computer Science,79330.0,2013-05-25,97,186.0,2.0,101.0,171.0,10.0,45.0,4,2.0,3,18.0,4.24,2,367.0,0,8,5.9
511,4320,Amanda,Harrison,1979,Bachelors,Computer Science,96243.20000000001,2013-03-28,6,476.0,140.0,539.0,915.0,51.0,241.0,6,4.0,12,8.0,6.77,1,396.0,0,6,28.6
512,5389,Kristin,Lloyd,1964,Bachelors,Computer Science,78272.0,2013-10-20,93,349.0,29.0,122.0,207.0,11.0,55.0,6,2.0,5,18.0,6.07,2,521.0,0,8,7.4
513,6036,Michael,Marks,1959,Masters,Computer Science,160416.0,2014-03-17,78,1712.0,155.0,733.0,1244.0,71.0,328.0,5,7.0,7,3.0,7.71,4,219.0,0,5,32.8
514,182,Tina,Hall,1946,PhD,Cyber Security,88248.0,2013-11-05,62,503.0,0.0,52.0,151.0,12.0,53.0,6,4.0,5,24.0,7.66,2,278.0,0,8,8.7
515,203,Kenneth,West,1975,Masters,Computer Science,146104.2,2013-04-14,47,1888.0,34.0,1101.0,1869.0,106.0,493.0,5,8.0,9,5.0,7.89,2,251.0,0,7,40.7
516,11025,Roy,Douglas,1961,Bachelors,Computer Science,58308.8,2013-03-02,9,95.0,0.0,83.0,140.0,7.0,37.0,3,1.0,3,20.0,7.76,3,434.0,0,6,4.6
517,10203,Anthony,Morris,1990,Bachelors,Computer Science,41752.0,2013-06-30,77,16.0,12.0,16.0,27.0,1.0,6.0,1,0.0,3,18.0,7.31,1,402.0,0,7,0.7
518,4607,Heather,Osborn,1959,Bachelors,Finance,114187.20000000001,2013-08-23,24,393.0,30.0,236.0,582.0,37.0,100.0,4,4.0,7,4.0,9.97,4,238.0,0,5,18.7
519,3711,Erik,Scott,1944,Masters,Cyber Security,144331.2,2014-01-03,19,1833.0,160.0,631.0,1839.0,166.0,659.0,6,5.0,10,9.0,4.97,2,250.0,0,9,46.8
520,3696,Melissa,Armstrong,1965,Bachelors,Law,49008.0,2014-01-27,67,21.0,0.0,4.0,26.0,0.0,5.0,2,0.0,3,8.0,5.31,2,305.0,0,9,1.8
521,2532,Joy,Garza,1987,Masters,Computer Science,132217.2,2014-01-03,95,1439.0,123.0,630.0,1070.0,60.0,282.0,2,4.0,6,13.0,9.45,1,203.0,0,6,29.7
522,9214,Joshua,Carter,1991,Bachelors,Computer Science,68305.6,2013-08-16,48,262.0,3.0,115.0,195.0,11.0,52.0,5,1.0,6,13.0,8.69,1,418.0,0,6,6.0
523,4943,John,Clay,1953,Bachelors,Computer Science,112804.8,2012-09-30,73,2021.0,56.0,388.0,659.0,38.0,174.0,2,4.0,9,15.0,4.88,4,383.0,0,8,29.4
524,35,Michael,Smith,1987,Bachelors,Marketing,40872.0,2012-08-09,35,41.0,1.0,56.0,188.0,7.0,33.0,2,2.0,3,16.0,8.29,1,509.0,0,6,6.0
525,2258,Christopher,Kaiser,1986,Bachelors,Computer Science,52608.0,2012-04-12,76,12.0,7.0,27.0,46.0,1.0,11.0,1,0.0,3,20.0,4.74,1,442.0,0,8,1.5
526,4322,Julie,George,1958,PhD,Computer Science,155726.0,2013-11-27,20,1291.0,64.0,573.0,973.0,54.0,256.0,4,6.0,10,5.0,9.32,1,225.0,0,9,26.8
527,713,Dawn,Norton,1977,Masters,Computer Science,90635.40000000001,2014-08-06,72,207.0,25.0,275.0,466.0,26.0,122.0,4,4.0,6,8.0,8.79,3,267.0,0,6,8.2
528,4702,Brandon,Davis,1964,Bachelors,Computer Science,98942.40000000001,2012-12-08,20,1466.0,261.0,681.0,1156.0,65.0,304.0,4,9.0,4,20.0,4.31,3,163.0,0,5,43.7
529,3281,Spencer,Graham,1960,PhD,Computer Science,98308.0,2013-03-11,69,302.0,17.0,120.0,204.0,11.0,53.0,4,1.0,8,15.0,5.43,1,388.0,0,8,9.6
530,702,Rebecca,Armstrong,1975,High School,Computer Science,9536.4,2013-02-15,80,237.0,103.0,149.0,253.0,14.0,66.0,4,3.0,8,13.0,4.83,3,366.0,0,7,15.0
531,2004,Michelle,Clark,1969,Bachelors,Computer Science,116286.40000000001,2013-09-18,65,907.0,91.0,467.0,793.0,44.0,209.0,4,8.0,5,3.0,4.86,4,371.0,0,7,25.8
532,4769,Lori,Robinson,1977,Masters,Cyber Security,104317.2,2014-06-18,52,808.0,5.0,23.0,66.0,6.0,24.0,8,4.0,6,21.0,6.91,3,434.0,0,6,3.9
533,4437,Kristina,Thornton,1962,Bachelors,Computer Science,104505.6,2013-04-24,65,164.0,10.0,165.0,281.0,15.0,74.0,3,2.0,5,10.0,8.88,4,482.0,0,7,5.7
534,8724,Daniel,Ferguson,1982,Bachelors,Computer Science,45707.200000000004,2013-06-17,57,16.0,5.0,40.0,67.0,3.0,18.0,2,0.0,3,15.0,8.08,1,493.0,0,5,1.9
535,10741,Peter,Rocha,1951,Masters,Finance,85233.6,2013-11-04,70,298.0,16.0,68.0,168.0,11.0,29.0,6,1.0,5,14.0,5.13,4,461.0,0,7,9.0
536,1991,Sara,Mcdaniel,1967,Bachelors,Finance,71889.6,2014-01-18,0,135.0,0.0,7.0,16.0,1.0,3.0,2,1.0,3,10.0,7.66,2,339.0,0,5,1.8
537,6931,James,Carroll,1967,Bachelors,Pre-Med,123171.20000000001,2014-02-15,19,677.0,260.0,346.0,818.0,49.0,261.0,8,4.0,4,11.0,5.06,1,269.0,0,5,18.7
538,11096,Mary,Hernandez,1952,High School,Computer Science,11449.400000000001,2013-08-08,50,145.0,7.0,57.0,98.0,6.0,26.0,2,1.0,7,5.0,8.42,1,365.0,0,8,6.0
539,304,James,Hall,1981,Masters,Finance,41299.200000000004,2013-12-23,67,33.0,4.0,12.0,28.0,2.0,5.0,3,0.0,3,14.0,4.99,2,565.0,0,6,2.3
540,3665,David,Rodriguez,1977,High School,Computer Science,5063.0,2013-07-11,46,1.0,15.0,14.0,24.0,1.0,6.0,3,0.0,3,20.0,7.72,4,386.0,0,6,1.7
541,10591,Lauren,Blake,1969,Bachelors,Computer Science,69820.8,2012-06-08,37,92.0,17.0,149.0,253.0,14.0,66.0,4,1.0,4,18.0,5.75,3,288.0,0,5,3.7
542,5036,Katherine,Hall,1984,PhD,Computer Science,85420.0,2012-11-28,38,369.0,5.0,75.0,128.0,7.0,34.0,4,6.0,3,15.0,4.06,3,436.0,0,7,9.6
543,5547,Dominique,Moore,1982,PhD,Computer Science,168338.0,2013-07-08,9,2166.0,32.0,724.0,1229.0,70.0,324.0,7,7.0,6,8.0,6.8,1,314.0,0,5,35.5
544,7822,Sydney,Wilson,1976,Bachelors,Computer Science,86492.8,2013-04-06,56,290.0,30.0,452.0,768.0,43.0,203.0,4,7.0,8,8.0,5.26,1,264.0,0,5,16.0
545,8541,Taylor,Martin,1990,High School,Marketing,4936.6,2014-08-03,98,10.0,5.0,9.0,29.0,1.0,5.0,2,0.0,4,13.0,5.5,1,454.0,0,7,0.5
546,10955,Patrick,Fletcher,1964,Bachelors,Pre-Med,136992.0,2014-07-01,68,607.0,79.0,1095.0,2590.0,155.0,826.0,3,8.0,4,3.0,9.61,4,159.0,0,7,44.8
547,4368,Stephanie,Johnson,1980,Bachelors,Computer Science,76560.0,2013-03-12,72,62.0,12.0,77.0,131.0,7.0,34.0,3,0.0,4,15.0,5.15,4,471.0,0,7,2.8
548,9671,Brandi,Snyder,1968,Bachelors,Finance,31222.4,2014-01-26,47,24.0,4.0,13.0,31.0,2.0,5.0,3,1.0,2,16.0,6.66,4,290.0,0,8,1.7
549,2256,Elizabeth,Jacobs,1973,Masters,Computer Science,48886.200000000004,2014-03-29,33,25.0,0.0,5.0,9.0,0.0,2.0,1,0.0,3,15.0,8.09,4,524.0,0,8,0.5
550,4279,Rachel,Clark,1963,High School,Computer Science,7909.6,2014-03-31,87,22.0,7.0,18.0,30.0,1.0,8.0,1,1.0,3,8.0,9.36,2,294.0,0,6,1.9
551,5371,Michael,Jacobs,1989,Bachelors,Pre-Med,34358.4,2014-08-04,0,9.0,28.0,28.0,67.0,4.0,21.0,3,1.0,2,19.0,8.45,3,354.0,0,5,2.1
552,9240,Brian,Brooks,1971,PhD,Computer Science,121008.0,2014-07-02,73,671.0,0.0,43.0,73.0,4.0,19.0,6,2.0,8,15.0,6.39,4,273.0,0,7,4.9
553,9460,Brandon,Haney,1963,Bachelors,Cyber Security,35870.4,2013-04-18,74,53.0,4.0,44.0,129.0,10.0,45.0,3,4.0,2,24.0,7.44,1,437.0,0,7,5.7
554,9504,Jeffrey,Ortiz,1949,Masters,Computer Science,147056.4,2013-06-11,4,262.0,47.0,934.0,1585.0,90.0,419.0,3,9.0,13,3.0,6.19,3,210.0,0,5,30.5
555,8692,Nicole,Smith,1952,Bachelors,Computer Science,69539.2,2012-12-09,50,132.0,29.0,174.0,296.0,17.0,77.0,4,1.0,5,20.0,4.52,3,338.0,0,6,6.9
556,448,James,Lindsey,1978,PhD,Computer Science,109760.0,2013-01-03,57,451.0,143.0,246.0,418.0,24.0,109.0,6,2.0,11,13.0,8.88,2,359.0,0,7,22.2
557,8314,Mark,Harrington,1982,Bachelors,Computer Science,127852.8,2013-05-04,30,816.0,217.0,1366.0,2320.0,132.0,612.0,5,7.0,7,5.0,7.94,3,134.0,0,9,60.0
558,8420,Cassandra,Vega,1970,High School,Computer Science,3063.0,2013-03-08,27,10.0,7.0,23.0,40.0,1.0,10.0,2,0.0,4,13.0,4.81,3,418.0,0,7,1.2
559,3174,Alison,Barrera,1959,Bachelors,Pre-Med,140433.6,2013-05-22,61,2176.0,65.0,340.0,804.0,47.0,256.0,5,14.0,4,17.0,4.61,3,198.0,0,9,33.7
560,7685,Mario,Sutton,1978,Bachelors,Law,52862.4,2013-09-09,4,23.0,5.0,4.0,26.0,0.0,5.0,2,0.0,4,5.0,8.06,1,309.0,0,8,1.2
561,3179,Brian,Shah,1980,Bachelors,Pre-Med,130785.6,2013-06-16,75,363.0,263.0,1113.0,2632.0,158.0,840.0,6,8.0,7,6.0,6.09,4,174.0,0,9,51.5
562,9780,Nathan,Richards,1971,Masters,Computer Science,128698.2,2013-06-25,12,681.0,42.0,237.0,402.0,22.0,106.0,8,3.0,13,10.0,6.74,2,397.0,0,7,10.6
563,10681,Michael,Ashley,1970,High School,Computer Science,12493.2,2014-01-15,13,189.0,217.0,465.0,790.0,44.0,208.0,6,3.0,12,10.0,9.32,2,211.0,0,6,23.3
564,10232,Justin,Vasquez,1963,PhD,Computer Science,97598.0,2013-05-11,9,255.0,30.0,145.0,247.0,14.0,64.0,3,2.0,7,8.0,5.29,2,537.0,0,8,6.6
565,4184,Jasmine,Lawrence,1950,PhD,Cyber Security,104314.0,2014-07-06,48,335.0,2.0,27.0,80.0,6.0,28.0,3,4.0,5,12.0,7.28,4,480.0,0,9,4.4
566,9120,Bradley,Stephens,1962,Bachelors,Computer Science,106504.0,2012-05-12,80,1095.0,17.0,289.0,491.0,28.0,129.0,4,2.0,9,20.0,7.96,1,436.0,0,6,20.3
567,891,Sharon,Merritt,1951,Masters,Computer Science,52736.4,2013-07-09,60,9.0,0.0,4.0,6.0,0.0,2.0,1,0.0,2,13.0,8.98,3,541.0,0,9,0.0
568,10381,Jason,Moore,1979,Bachelors,Pre-Med,76305.6,2013-05-07,43,20.0,0.0,4.0,8.0,0.0,2.0,1,0.0,2,17.0,5.86,3,439.0,0,7,0.9
569,3525,Nicholas,Dennis,1970,Bachelors,Computer Science,61120.0,2012-07-12,19,18.0,0.0,7.0,12.0,0.0,3.0,1,0.0,2,18.0,9.8,3,510.0,0,7,0.9
570,6818,Crystal,Lewis,1974,Bachelors,Cyber Security,71982.40000000001,2012-12-09,26,174.0,0.0,100.0,291.0,26.0,104.0,5,2.0,5,18.0,6.34,4,341.0,0,7,13.0
571,3526,Jennifer,Adams,1968,PhD,Pre-Med,76886.0,2014-01-27,58,47.0,0.0,6.0,14.0,0.0,4.0,1,0.0,3,19.0,8.03,2,390.0,0,8,0.7
572,8181,Darrell,Flores,1978,High School,Computer Science,7718.6,2013-09-13,42,75.0,20.0,88.0,149.0,8.0,39.0,4,1.0,3,20.0,7.57,4,481.0,0,7,3.0
573,1029,Melissa,Harris,1970,PhD,Computer Science,128826.0,2013-01-08,27,293.0,8.0,79.0,134.0,7.0,35.0,5,1.0,5,13.0,8.84,2,412.0,0,5,5.7
574,7369,Nathan,Moss,1981,Masters,Pre-Med,66526.2,2013-02-10,56,36.0,10.0,30.0,70.0,4.0,21.0,2,0.0,3,22.0,8.17,2,352.0,0,5,1.9
575,2574,Mark,Rocha,1977,PhD,Pre-Med,123992.0,2013-01-31,27,1532.0,21.0,170.0,403.0,24.0,129.0,6,6.0,8,14.0,7.26,4,419.0,0,9,11.6
576,8159,Corey,Sims,1968,Bachelors,Finance,82059.20000000001,2014-01-04,10,203.0,0.0,13.0,33.0,2.0,6.0,4,1.0,3,14.0,9.38,3,296.0,0,8,3.2
577,1160,Jacob,Watson,1970,Bachelors,Computer Science,21216.0,2013-08-23,48,13.0,7.0,31.0,52.0,3.0,13.0,3,0.0,3,20.0,4.95,3,485.0,0,9,1.5
578,10242,Daniel,George,1966,PhD,Computer Science,94944.0,2013-09-16,39,82.0,0.0,20.0,34.0,1.0,8.0,2,0.0,4,13.0,7.06,1,516.0,0,5,1.0
579,5253,Eric,Randall,1956,Masters,Finance,98285.40000000001,2013-09-07,85,251.0,17.0,28.0,69.0,4.0,12.0,4,2.0,4,14.0,8.12,1,455.0,0,6,2.5
580,5966,Brenda,Brady,1974,PhD,Pre-Med,90414.0,2012-10-11,64,296.0,0.0,12.0,28.0,1.0,9.0,3,1.0,6,17.0,7.49,2,348.0,0,9,2.4
581,5314,Jamie,Lewis,1951,Bachelors,Computer Science,65102.4,2013-03-18,69,396.0,5.0,48.0,82.0,4.0,21.0,7,1.0,5,20.0,8.98,4,327.0,0,5,5.9
582,5081,Patricia,Nelson,1967,High School,Cyber Security,9564.2,2013-10-20,54,16.0,0.0,15.0,44.0,4.0,16.0,1,0.0,3,24.0,8.71,2,581.0,0,8,1.6
583,5123,Luis,Evans,1951,Masters,Pre-Med,49410.0,2013-04-15,57,54.0,21.0,27.0,64.0,3.0,20.0,2,1.0,3,19.0,6.1,3,541.0,0,9,3.6
584,5756,Kevin,Harris,1983,Bachelors,Cyber Security,63124.8,2014-03-04,64,81.0,0.0,7.0,19.0,0.0,6.0,2,0.0,3,18.0,8.9,4,512.0,0,8,0.7
585,8036,Linda,Morris,1971,High School,Finance,5370.0,2014-04-18,10,54.0,1.0,8.0,19.0,1.0,3.0,2,1.0,4,8.0,4.83,3,488.0,0,7,1.5
586,9058,Natalie,Jones,1955,Bachelors,Computer Science,127680.0,2012-09-23,65,1553.0,35.0,952.0,1616.0,92.0,427.0,5,12.0,5,8.0,6.76,4,156.0,0,8,38.6
587,5057,Austin,Estes,1961,Masters,Pre-Med,111229.2,2013-09-14,74,385.0,81.0,223.0,526.0,31.0,168.0,4,6.0,10,6.0,5.33,1,260.0,0,6,10.7
588,254,Michael,Guzman,1955,Bachelors,Computer Science,86180.8,2014-05-17,4,585.0,7.0,54.0,91.0,4.0,24.0,7,1.0,7,18.0,8.32,4,415.0,0,7,6.4
589,4179,Shelly,Gibbs,1959,Bachelors,Cyber Security,38753.6,2013-08-20,94,14.0,11.0,8.0,25.0,2.0,8.0,1,2.0,3,12.0,5.76,4,406.0,0,8,1.6
590,3710,Tom,Richard,1984,PhD,Finance,79368.0,2012-12-10,41,33.0,0.0,21.0,52.0,3.0,9.0,2,1.0,2,14.0,5.63,3,529.0,1,9,1.9
591,7627,Jeremy,Sanchez,1975,Masters,Computer Science,165893.4,2012-12-12,25,1197.0,308.0,1431.0,2430.0,138.0,641.0,5,12.0,5,5.0,6.06,3,189.0,0,9,59.3
592,4501,Tyrone,Hart,1965,Masters,Computer Science,125787.6,2013-10-11,94,428.0,214.0,1140.0,1936.0,110.0,510.0,3,8.0,9,3.0,7.77,2,234.0,0,5,37.2
593,6424,Joshua,Williams,1977,Bachelors,Computer Science,53084.8,2014-01-30,9,18.0,10.0,4.0,6.0,0.0,2.0,1,0.0,3,10.0,7.3,4,344.0,0,7,0.8
594,3075,Wendy,Woodard,1972,PhD,Finance,119946.0,2013-11-09,47,225.0,39.0,102.0,251.0,16.0,43.0,3,3.0,7,2.0,9.89,2,407.0,0,8,9.5
595,4992,Tammy,Wright,1975,Masters,Computer Science,31426.2,2013-09-19,12,9.0,7.0,29.0,49.0,3.0,13.0,3,1.0,2,18.0,7.41,2,322.0,0,8,2.8
596,5252,Jane,Castro,1969,Bachelors,Law,38256.0,2012-10-26,80,12.0,7.0,6.0,39.0,1.0,7.0,2,0.0,3,8.0,5.12,4,444.0,0,9,1.4
597,7444,Jillian,Carter,1969,Masters,Computer Science,75904.2,2013-10-19,20,28.0,0.0,16.0,27.0,1.0,6.0,1,0.0,3,20.0,5.22,1,323.0,0,7,0.6
598,6919,William,Dougherty,1978,High School,Computer Science,5244.8,2013-04-06,39,6.0,12.0,27.0,46.0,1.0,11.0,2,1.0,3,15.0,6.91,3,393.0,0,6,2.6
599,3537,Crystal,Collins,1981,Bachelors,Computer Science,49742.4,2012-08-17,57,45.0,5.0,56.0,95.0,4.0,24.0,3,0.0,4,20.0,8.53,4,295.0,0,5,1.5
